"Var1","Freq"
"Alfalfa mosaic virus",1
"Anthracnose stem blight",1
"Bacterial blight",1
"Bacterial pustule",1
"Bean pod mottle",1
"Brown stem rot",1
"Cercospora leaf blight",1
"Diaporthe/Phomopsis complex",1
"Downy mildew",1
"Frogeye leaf spot",1
"Pathogen",1
"Phyllosticta leaf spot",1
"Phytophthora root and stem rot",1
"Powdery mildew",1
"Purple seed stain",1
"Pythium seedling blight",1
"Septoria brown spot",1
"Soybean bacterial pustule",1
"Soybean mosaic",1
"Soybean vein necrosis",1
"Stem canker",1
"Sudden death syndrome",1
"Target spot",1
"White mold",1
